case_id,architecture,workload,N,shape,source,valid_cells,split
49,standard,quadrant,8,8x8,synthetic,64,synthetic_train
50,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
51,standard,uniform,8,8x8,synthetic,64,synthetic_val
52,standard,quadrant,8,8x8,synthetic,64,synthetic_train
53,standard,quadrant,8,8x8,synthetic,64,synthetic_test
54,standard,stripes,8,8x8,synthetic,64,synthetic_train
55,standard,stripes,8,8x8,synthetic,64,synthetic_train
56,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
57,standard,uniform,8,8x8,synthetic,64,synthetic_train
58,standard,hotspot,8,8x8,synthetic,64,synthetic_test
59,standard,stripes,8,8x8,synthetic,64,synthetic_train
60,standard,uniform,8,8x8,synthetic,64,synthetic_train
61,standard,uniform,8,8x8,synthetic,64,synthetic_val
62,standard,uniform,8,8x8,synthetic,64,synthetic_train
63,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
64,standard,uniform,8,8x8,synthetic,64,synthetic_train
65,standard,quadrant,8,8x8,synthetic,64,synthetic_train
66,standard,hotspot,8,8x8,synthetic,64,synthetic_train
67,standard,quadrant,8,8x8,synthetic,64,synthetic_train
68,standard,uniform,8,8x8,synthetic,64,synthetic_train
69,standard,hotspot,8,8x8,synthetic,64,synthetic_train
70,standard,stripes,8,8x8,synthetic,64,synthetic_val
71,standard,uniform,8,8x8,synthetic,64,synthetic_train
72,standard,stripes,8,8x8,synthetic,64,synthetic_train
73,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
74,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
75,standard,stripes,8,8x8,synthetic,64,synthetic_val
76,standard,hotspot,8,8x8,synthetic,64,synthetic_train
77,standard,uniform,8,8x8,synthetic,64,synthetic_val
78,standard,uniform,8,8x8,synthetic,64,synthetic_val
79,standard,uniform,8,8x8,synthetic,64,synthetic_train
80,standard,uniform,8,8x8,synthetic,64,synthetic_train
81,standard,uniform,8,8x8,synthetic,64,synthetic_test
82,standard,hotspot,8,8x8,synthetic,64,synthetic_train
83,standard,hotspot,8,8x8,synthetic,64,synthetic_train
84,standard,checkerboard,8,8x8,synthetic,64,synthetic_val
85,standard,hotspot,8,8x8,synthetic,64,synthetic_train
86,standard,hotspot,8,8x8,synthetic,64,synthetic_train
87,standard,quadrant,8,8x8,synthetic,64,synthetic_train
88,standard,quadrant,8,8x8,synthetic,64,synthetic_test
89,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
90,standard,hotspot,8,8x8,synthetic,64,synthetic_test
91,standard,uniform,8,8x8,synthetic,64,synthetic_train
92,standard,hotspot,8,8x8,synthetic,64,synthetic_val
93,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
94,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
95,standard,hotspot,8,8x8,synthetic,64,synthetic_train
96,standard,multihotspot,8,8x8,synthetic,64,synthetic_val
97,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
98,standard,uniform,8,8x8,synthetic,64,synthetic_train
99,standard,uniform,8,8x8,synthetic,64,synthetic_train
100,standard,uniform,8,8x8,synthetic,64,synthetic_train
101,standard,uniform,8,8x8,synthetic,64,synthetic_train
102,standard,stripes,8,8x8,synthetic,64,synthetic_val
103,standard,quadrant,8,8x8,synthetic,64,synthetic_val
104,standard,uniform,8,8x8,synthetic,64,synthetic_train
105,standard,uniform,8,8x8,synthetic,64,synthetic_train
106,standard,hotspot,8,8x8,synthetic,64,synthetic_test
107,standard,stripes,8,8x8,synthetic,64,synthetic_train
108,standard,uniform,8,8x8,synthetic,64,synthetic_train
109,standard,uniform,8,8x8,synthetic,64,synthetic_train
110,standard,hotspot,8,8x8,synthetic,64,synthetic_train
111,standard,quadrant,8,8x8,synthetic,64,synthetic_test
112,standard,hotspot,8,8x8,synthetic,64,synthetic_train
113,standard,quadrant,8,8x8,synthetic,64,synthetic_train
114,standard,hotspot,8,8x8,synthetic,64,synthetic_train
115,standard,hotspot,8,8x8,synthetic,64,synthetic_train
116,standard,uniform,8,8x8,synthetic,64,synthetic_test
117,standard,multihotspot,8,8x8,synthetic,64,synthetic_val
118,standard,stripes,8,8x8,synthetic,64,synthetic_train
119,standard,hotspot,8,8x8,synthetic,64,synthetic_train
120,standard,uniform,8,8x8,synthetic,64,synthetic_test
121,standard,quadrant,8,8x8,synthetic,64,synthetic_train
122,standard,quadrant,8,8x8,synthetic,64,synthetic_val
123,standard,uniform,8,8x8,synthetic,64,synthetic_test
124,standard,uniform,8,8x8,synthetic,64,synthetic_train
125,standard,uniform,8,8x8,synthetic,64,synthetic_train
126,standard,checkerboard,8,8x8,synthetic,64,synthetic_test
127,standard,uniform,8,8x8,synthetic,64,synthetic_train
128,standard,uniform,8,8x8,synthetic,64,synthetic_train
129,standard,stripes,8,8x8,synthetic,64,synthetic_train
130,standard,stripes,8,8x8,synthetic,64,synthetic_train
131,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
132,standard,stripes,8,8x8,synthetic,64,synthetic_train
133,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
134,standard,uniform,8,8x8,synthetic,64,synthetic_train
135,standard,uniform,8,8x8,synthetic,64,synthetic_train
136,standard,multihotspot,8,8x8,synthetic,64,synthetic_test
137,standard,stripes,8,8x8,synthetic,64,synthetic_train
138,standard,uniform,8,8x8,synthetic,64,synthetic_val
139,standard,checkerboard,8,8x8,synthetic,64,synthetic_test
140,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
141,standard,uniform,8,8x8,synthetic,64,synthetic_train
142,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
143,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
144,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
145,standard,hotspot,8,8x8,synthetic,64,synthetic_train
146,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
147,standard,hotspot,8,8x8,synthetic,64,synthetic_train
148,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
149,standard,checkerboard,8,8x8,synthetic,64,synthetic_test
150,standard,uniform,8,8x8,synthetic,64,synthetic_train
151,standard,stripes,8,8x8,synthetic,64,synthetic_train
152,standard,uniform,8,8x8,synthetic,64,synthetic_train
153,standard,stripes,8,8x8,synthetic,64,synthetic_train
154,standard,stripes,8,8x8,synthetic,64,synthetic_train
155,standard,uniform,8,8x8,synthetic,64,synthetic_train
156,standard,quadrant,8,8x8,synthetic,64,synthetic_train
157,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
158,standard,hotspot,8,8x8,synthetic,64,synthetic_train
159,standard,hotspot,8,8x8,synthetic,64,synthetic_val
160,standard,quadrant,8,8x8,synthetic,64,synthetic_train
161,standard,uniform,8,8x8,synthetic,64,synthetic_train
162,standard,hotspot,8,8x8,synthetic,64,synthetic_test
163,standard,hotspot,8,8x8,synthetic,64,synthetic_val
164,standard,uniform,8,8x8,synthetic,64,synthetic_val
165,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
166,standard,hotspot,8,8x8,synthetic,64,synthetic_val
167,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
168,standard,hotspot,8,8x8,synthetic,64,synthetic_train
169,standard,stripes,8,8x8,synthetic,64,synthetic_test
170,standard,quadrant,8,8x8,synthetic,64,synthetic_train
171,standard,hotspot,8,8x8,synthetic,64,synthetic_test
172,standard,quadrant,8,8x8,synthetic,64,synthetic_train
173,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
174,standard,quadrant,8,8x8,synthetic,64,synthetic_val
175,standard,uniform,8,8x8,synthetic,64,synthetic_train
176,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
177,standard,quadrant,8,8x8,synthetic,64,synthetic_train
178,standard,stripes,8,8x8,synthetic,64,synthetic_train
179,standard,hotspot,8,8x8,synthetic,64,synthetic_train
180,standard,quadrant,8,8x8,synthetic,64,synthetic_train
181,standard,stripes,8,8x8,synthetic,64,synthetic_test
182,standard,stripes,8,8x8,synthetic,64,synthetic_train
183,standard,hotspot,8,8x8,synthetic,64,synthetic_train
184,standard,uniform,8,8x8,synthetic,64,synthetic_train
185,standard,stripes,8,8x8,synthetic,64,synthetic_val
186,standard,hotspot,8,8x8,synthetic,64,synthetic_val
187,standard,multihotspot,8,8x8,synthetic,64,synthetic_val
188,standard,checkerboard,8,8x8,synthetic,64,synthetic_val
189,standard,uniform,8,8x8,synthetic,64,synthetic_train
190,standard,multihotspot,8,8x8,synthetic,64,synthetic_val
191,standard,stripes,8,8x8,synthetic,64,synthetic_test
192,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
193,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
194,standard,uniform,8,8x8,synthetic,64,synthetic_train
195,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
196,standard,hotspot,8,8x8,synthetic,64,synthetic_test
197,standard,hotspot,8,8x8,synthetic,64,synthetic_train
198,standard,hotspot,8,8x8,synthetic,64,synthetic_test
199,standard,hotspot,8,8x8,synthetic,64,synthetic_train
200,systolic,banded,8,8x8,synthetic,64,synthetic_train
201,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
202,systolic,checkerboard,8,8x8,synthetic,64,synthetic_test
203,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
204,systolic,checkerboard,8,8x8,synthetic,64,synthetic_val
205,systolic,uniform,8,8x8,synthetic,64,synthetic_val
206,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
207,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
208,systolic,banded,8,8x8,synthetic,64,synthetic_train
209,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
210,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
211,systolic,uniform,8,8x8,synthetic,64,synthetic_test
212,systolic,uniform,8,8x8,synthetic,64,synthetic_train
213,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
214,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
215,systolic,uniform,8,8x8,synthetic,64,synthetic_train
216,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
217,systolic,uniform,8,8x8,synthetic,64,synthetic_val
218,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
219,systolic,banded,8,8x8,synthetic,64,synthetic_train
220,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
221,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
222,systolic,uniform,8,8x8,synthetic,64,synthetic_train
223,systolic,uniform,8,8x8,synthetic,64,synthetic_test
224,systolic,banded,8,8x8,synthetic,64,synthetic_test
225,systolic,uniform,8,8x8,synthetic,64,synthetic_test
226,systolic,checkerboard,8,8x8,synthetic,64,synthetic_val
227,systolic,banded,8,8x8,synthetic,64,synthetic_train
228,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
229,systolic,checkerboard,8,8x8,synthetic,64,synthetic_val
230,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
231,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
232,systolic,uniform,8,8x8,synthetic,64,synthetic_train
233,systolic,uniform,8,8x8,synthetic,64,synthetic_val
234,systolic,uniform,8,8x8,synthetic,64,synthetic_train
235,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
236,systolic,banded,8,8x8,synthetic,64,synthetic_train
237,systolic,uniform,8,8x8,synthetic,64,synthetic_train
238,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
239,systolic,banded,8,8x8,synthetic,64,synthetic_val
240,systolic,banded,8,8x8,synthetic,64,synthetic_test
241,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
242,systolic,checkerboard,8,8x8,synthetic,64,synthetic_test
243,systolic,uniform,8,8x8,synthetic,64,synthetic_val
244,systolic,banded,8,8x8,synthetic,64,synthetic_train
245,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
246,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
247,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
248,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
249,systolic,wavefront,8,8x8,synthetic,64,synthetic_test
250,systolic,uniform,8,8x8,synthetic,64,synthetic_train
251,systolic,banded,8,8x8,synthetic,64,synthetic_test
252,systolic,wavefront,8,8x8,synthetic,64,synthetic_test
253,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
254,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
255,systolic,wavefront,8,8x8,synthetic,64,synthetic_val
256,systolic,wavefront,8,8x8,synthetic,64,synthetic_val
257,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
258,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
259,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
260,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
261,systolic,uniform,8,8x8,synthetic,64,synthetic_train
262,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
263,systolic,uniform,8,8x8,synthetic,64,synthetic_train
264,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
265,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
266,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
267,systolic,uniform,8,8x8,synthetic,64,synthetic_train
268,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
269,systolic,banded,8,8x8,synthetic,64,synthetic_train
270,systolic,uniform,8,8x8,synthetic,64,synthetic_train
271,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
272,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
273,systolic,banded,8,8x8,synthetic,64,synthetic_train
274,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
275,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
276,systolic,banded,8,8x8,synthetic,64,synthetic_test
277,systolic,uniform,8,8x8,synthetic,64,synthetic_train
278,systolic,uniform,8,8x8,synthetic,64,synthetic_val
279,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
280,systolic,banded,8,8x8,synthetic,64,synthetic_train
281,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
282,systolic,banded,8,8x8,synthetic,64,synthetic_train
283,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
284,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
285,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
286,systolic,uniform,8,8x8,synthetic,64,synthetic_train
287,systolic,uniform,8,8x8,synthetic,64,synthetic_train
288,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
289,systolic,uniform,8,8x8,synthetic,64,synthetic_train
290,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
291,systolic,banded,8,8x8,synthetic,64,synthetic_train
292,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
293,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
294,systolic,banded,8,8x8,synthetic,64,synthetic_train
295,systolic,uniform,8,8x8,synthetic,64,synthetic_test
296,systolic,uniform,8,8x8,synthetic,64,synthetic_test
297,systolic,uniform,8,8x8,synthetic,64,synthetic_train
298,systolic,banded,8,8x8,synthetic,64,synthetic_train
299,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
300,systolic,banded,8,8x8,synthetic,64,synthetic_train
301,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
302,systolic,banded,8,8x8,synthetic,64,synthetic_train
303,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
304,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
305,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
306,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
307,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
308,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
309,systolic,uniform,8,8x8,synthetic,64,synthetic_train
310,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
311,systolic,checkerboard,8,8x8,synthetic,64,synthetic_val
312,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
313,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
314,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
315,systolic,banded,8,8x8,synthetic,64,synthetic_train
316,systolic,uniform,8,8x8,synthetic,64,synthetic_train
317,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
318,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
319,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
320,systolic,banded,8,8x8,synthetic,64,synthetic_train
321,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
322,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
323,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
324,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
325,systolic,uniform,8,8x8,synthetic,64,synthetic_train
326,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
327,systolic,wavefront,8,8x8,synthetic,64,synthetic_test
328,systolic,banded,8,8x8,synthetic,64,synthetic_train
329,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
330,systolic,uniform,8,8x8,synthetic,64,synthetic_train
331,systolic,checkerboard,8,8x8,synthetic,64,synthetic_test
332,systolic,uniform,8,8x8,synthetic,64,synthetic_train
333,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
334,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
335,systolic,uniform,8,8x8,synthetic,64,synthetic_train
336,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
337,systolic,uniform,8,8x8,synthetic,64,synthetic_train
338,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
339,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
340,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
341,systolic,uniform,8,8x8,synthetic,64,synthetic_val
342,systolic,uniform,8,8x8,synthetic,64,synthetic_train
343,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
344,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
345,systolic,banded,8,8x8,synthetic,64,synthetic_val
346,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
347,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
348,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
349,systolic,uniform,8,8x8,synthetic,64,synthetic_train
350,systolic,uniform,8,8x8,synthetic,64,synthetic_train
351,systolic,uniform,8,8x8,synthetic,64,synthetic_train
352,systolic,banded,8,8x8,synthetic,64,synthetic_test
353,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
354,systolic,banded,8,8x8,synthetic,64,synthetic_train
355,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
356,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
357,systolic,uniform,8,8x8,synthetic,64,synthetic_train
358,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
359,systolic,wavefront,8,8x8,synthetic,64,synthetic_val
360,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
361,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
362,systolic,uniform,8,8x8,synthetic,64,synthetic_val
363,systolic,uniform,8,8x8,synthetic,64,synthetic_train
364,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
365,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
366,systolic,uniform,8,8x8,synthetic,64,synthetic_val
367,systolic,uniform,8,8x8,synthetic,64,synthetic_train
368,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
369,systolic,checkerboard,8,8x8,synthetic,64,synthetic_val
370,systolic,uniform,8,8x8,synthetic,64,synthetic_train
371,systolic,uniform,8,8x8,synthetic,64,synthetic_train
372,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
373,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
374,systolic,uniform,8,8x8,synthetic,64,synthetic_train
375,systolic,banded,8,8x8,synthetic,64,synthetic_train
376,systolic,uniform,8,8x8,synthetic,64,synthetic_train
377,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
378,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
379,systolic,uniform,8,8x8,synthetic,64,synthetic_train
380,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
381,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
382,systolic,checkerboard,8,8x8,synthetic,64,synthetic_test
383,systolic,hotspot,8,8x8,synthetic,64,synthetic_val
384,systolic,checkerboard,8,8x8,synthetic,64,synthetic_val
385,systolic,uniform,8,8x8,synthetic,64,synthetic_train
386,systolic,uniform,8,8x8,synthetic,64,synthetic_test
387,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
388,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
389,systolic,checkerboard,8,8x8,synthetic,64,synthetic_test
390,systolic,uniform,8,8x8,synthetic,64,synthetic_test
391,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
392,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
393,systolic,checkerboard,8,8x8,synthetic,64,synthetic_train
394,systolic,hotspot,8,8x8,synthetic,64,synthetic_train
395,systolic,hotspot,8,8x8,synthetic,64,synthetic_test
396,systolic,banded,8,8x8,synthetic,64,synthetic_val
397,systolic,banded,8,8x8,synthetic,64,synthetic_val
398,systolic,wavefront,8,8x8,synthetic,64,synthetic_train
399,systolic,banded,8,8x8,synthetic,64,synthetic_train
400,standard,hotspot,16,16x16,synthetic,256,synthetic_train
401,standard,checkerboard,16,16x16,synthetic,256,synthetic_val
402,standard,uniform,16,16x16,synthetic,256,synthetic_test
403,standard,hotspot,16,16x16,synthetic,256,synthetic_train
404,standard,multihotspot,16,16x16,synthetic,256,synthetic_test
405,standard,uniform,16,16x16,synthetic,256,synthetic_train
406,standard,hotspot,16,16x16,synthetic,256,synthetic_val
407,standard,quadrant,16,16x16,synthetic,256,synthetic_train
408,standard,uniform,16,16x16,synthetic,256,synthetic_val
409,standard,quadrant,16,16x16,synthetic,256,synthetic_val
410,standard,multihotspot,16,16x16,synthetic,256,synthetic_train
411,standard,stripes,16,16x16,synthetic,256,synthetic_train
412,standard,hotspot,16,16x16,synthetic,256,synthetic_train
413,standard,checkerboard,16,16x16,synthetic,256,synthetic_test
414,standard,quadrant,16,16x16,synthetic,256,synthetic_train
415,standard,stripes,16,16x16,synthetic,256,synthetic_test
416,standard,uniform,16,16x16,synthetic,256,synthetic_val
417,standard,hotspot,16,16x16,synthetic,256,synthetic_test
418,standard,hotspot,16,16x16,synthetic,256,synthetic_train
419,standard,uniform,16,16x16,synthetic,256,synthetic_train
420,standard,stripes,16,16x16,synthetic,256,synthetic_train
421,standard,uniform,16,16x16,synthetic,256,synthetic_train
422,standard,checkerboard,16,16x16,synthetic,256,synthetic_test
423,standard,hotspot,16,16x16,synthetic,256,synthetic_train
424,standard,uniform,16,16x16,synthetic,256,synthetic_test
425,standard,checkerboard,16,16x16,synthetic,256,synthetic_train
426,standard,hotspot,16,16x16,synthetic,256,synthetic_train
427,standard,stripes,16,16x16,synthetic,256,synthetic_train
428,standard,checkerboard,16,16x16,synthetic,256,synthetic_train
429,standard,hotspot,16,16x16,synthetic,256,synthetic_train
430,standard,multihotspot,16,16x16,synthetic,256,synthetic_test
431,standard,uniform,16,16x16,synthetic,256,synthetic_train
432,standard,hotspot,16,16x16,synthetic,256,synthetic_val
433,standard,hotspot,16,16x16,synthetic,256,synthetic_val
434,standard,multihotspot,16,16x16,synthetic,256,synthetic_val
435,standard,multihotspot,16,16x16,synthetic,256,synthetic_train
436,standard,multihotspot,16,16x16,synthetic,256,synthetic_train
437,standard,checkerboard,16,16x16,synthetic,256,synthetic_train
438,standard,checkerboard,16,16x16,synthetic,256,synthetic_val
439,standard,quadrant,16,16x16,synthetic,256,synthetic_train
440,standard,quadrant,16,16x16,synthetic,256,synthetic_test
441,standard,hotspot,16,16x16,synthetic,256,synthetic_train
442,standard,checkerboard,16,16x16,synthetic,256,synthetic_train
443,standard,checkerboard,16,16x16,synthetic,256,synthetic_test
444,standard,hotspot,16,16x16,synthetic,256,synthetic_val
445,standard,stripes,16,16x16,synthetic,256,synthetic_train
446,standard,checkerboard,16,16x16,synthetic,256,synthetic_train
447,standard,hotspot,16,16x16,synthetic,256,synthetic_val
448,standard,checkerboard,16,16x16,synthetic,256,synthetic_train
449,standard,checkerboard,16,16x16,synthetic,256,synthetic_val
450,standard,stripes,16,16x16,synthetic,256,synthetic_train
451,standard,stripes,16,16x16,synthetic,256,synthetic_train
452,standard,quadrant,16,16x16,synthetic,256,synthetic_test
453,standard,uniform,16,16x16,synthetic,256,synthetic_val
454,standard,hotspot,16,16x16,synthetic,256,synthetic_train
455,standard,stripes,16,16x16,synthetic,256,synthetic_train
456,standard,stripes,16,16x16,synthetic,256,synthetic_train
457,standard,checkerboard,16,16x16,synthetic,256,synthetic_val
458,standard,multihotspot,16,16x16,synthetic,256,synthetic_train
459,standard,quadrant,16,16x16,synthetic,256,synthetic_test
460,standard,checkerboard,16,16x16,synthetic,256,synthetic_test
