sample_id,source,architecture,workload,N,shape,split_role
synthetic_standard_multihotspot_2_00069,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_quadrant_2_00070,synthetic,standard,quadrant,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00071,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00072,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00073,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_uniform_2_00074,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_quadrant_2_00075,synthetic,standard,quadrant,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00076,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_uniform_2_00077,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_stripes_2_00078,synthetic,standard,stripes,2,2x2,synthetic_val
synthetic_standard_multihotspot_2_00079,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00080,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_stripes_2_00081,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_stripes_2_00082,synthetic,standard,stripes,2,2x2,synthetic_test
synthetic_standard_uniform_2_00083,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_uniform_2_00084,synthetic,standard,uniform,2,2x2,synthetic_test
synthetic_standard_checkerboard_2_00085,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_uniform_2_00086,synthetic,standard,uniform,2,2x2,synthetic_test
synthetic_standard_uniform_2_00087,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_uniform_2_00088,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_uniform_2_00089,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00090,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00091,synthetic,standard,checkerboard,2,2x2,synthetic_test
synthetic_standard_stripes_2_00092,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00093,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_uniform_2_00094,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00095,synthetic,standard,hotspot,2,2x2,synthetic_val
synthetic_standard_uniform_2_00096,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_uniform_2_00097,synthetic,standard,uniform,2,2x2,synthetic_test
synthetic_standard_quadrant_2_00098,synthetic,standard,quadrant,2,2x2,synthetic_train
synthetic_standard_stripes_2_00099,synthetic,standard,stripes,2,2x2,synthetic_test
synthetic_systolic_hotspot_2_00000,synthetic,systolic,hotspot,2,2x2,synthetic_test
synthetic_systolic_checkerboard_2_00001,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00002,synthetic,systolic,uniform,2,2x2,synthetic_val
synthetic_systolic_checkerboard_2_00003,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00004,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00005,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00006,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00007,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00008,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_wavefront_2_00009,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00010,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_banded_2_00011,synthetic,systolic,banded,2,2x2,synthetic_val
synthetic_systolic_wavefront_2_00012,synthetic,systolic,wavefront,2,2x2,synthetic_val
synthetic_systolic_wavefront_2_00013,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00014,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00015,synthetic,systolic,hotspot,2,2x2,synthetic_val
synthetic_systolic_wavefront_2_00016,synthetic,systolic,wavefront,2,2x2,synthetic_test
synthetic_systolic_hotspot_2_00017,synthetic,systolic,hotspot,2,2x2,synthetic_test
synthetic_systolic_uniform_2_00018,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_wavefront_2_00019,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_banded_2_00020,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00021,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00022,synthetic,systolic,uniform,2,2x2,synthetic_test
synthetic_systolic_checkerboard_2_00023,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_banded_2_00024,synthetic,systolic,banded,2,2x2,synthetic_test
synthetic_systolic_checkerboard_2_00025,synthetic,systolic,checkerboard,2,2x2,synthetic_test
synthetic_systolic_banded_2_00026,synthetic,systolic,banded,2,2x2,synthetic_test
synthetic_systolic_hotspot_2_00027,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00028,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00029,synthetic,systolic,checkerboard,2,2x2,synthetic_test
synthetic_systolic_checkerboard_2_00030,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00031,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00032,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_banded_2_00033,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00034,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00035,synthetic,systolic,checkerboard,2,2x2,synthetic_test
synthetic_systolic_uniform_2_00036,synthetic,systolic,uniform,2,2x2,synthetic_test
synthetic_systolic_uniform_2_00037,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00038,synthetic,systolic,hotspot,2,2x2,synthetic_val
synthetic_systolic_uniform_2_00039,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_wavefront_2_00040,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00041,synthetic,systolic,uniform,2,2x2,synthetic_test
synthetic_systolic_hotspot_2_00042,synthetic,systolic,hotspot,2,2x2,synthetic_val
synthetic_systolic_uniform_2_00043,synthetic,systolic,uniform,2,2x2,synthetic_val
synthetic_systolic_checkerboard_2_00044,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00045,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_banded_2_00046,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00047,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00048,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00049,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00050,synthetic,systolic,hotspot,2,2x2,synthetic_test
synthetic_systolic_uniform_2_00051,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00052,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00053,synthetic,systolic,checkerboard,2,2x2,synthetic_val
synthetic_systolic_hotspot_2_00054,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00055,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00056,synthetic,systolic,hotspot,2,2x2,synthetic_test
synthetic_systolic_wavefront_2_00057,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00058,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00059,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_wavefront_2_00060,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00061,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_wavefront_2_00062,synthetic,systolic,wavefront,2,2x2,synthetic_test
synthetic_systolic_uniform_2_00063,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00064,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00065,synthetic,systolic,checkerboard,2,2x2,synthetic_val
synthetic_systolic_wavefront_2_00066,synthetic,systolic,wavefront,2,2x2,synthetic_test
synthetic_systolic_uniform_2_00067,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00068,synthetic,systolic,checkerboard,2,2x2,synthetic_test
synthetic_systolic_wavefront_2_00069,synthetic,systolic,wavefront,2,2x2,synthetic_val
synthetic_systolic_wavefront_2_00070,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00071,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00072,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_banded_2_00073,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_banded_2_00074,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00075,synthetic,systolic,checkerboard,2,2x2,synthetic_test
synthetic_systolic_hotspot_2_00076,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_banded_2_00077,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00078,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00079,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00080,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00081,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00082,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_wavefront_2_00083,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_banded_2_00084,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00085,synthetic,systolic,checkerboard,2,2x2,synthetic_val
synthetic_systolic_uniform_2_00086,synthetic,systolic,uniform,2,2x2,synthetic_val
synthetic_systolic_hotspot_2_00087,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00088,synthetic,systolic,uniform,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00089,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00090,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_banded_2_00091,synthetic,systolic,banded,2,2x2,synthetic_test
synthetic_systolic_wavefront_2_00092,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_banded_2_00093,synthetic,systolic,banded,2,2x2,synthetic_train
synthetic_systolic_uniform_2_00094,synthetic,systolic,uniform,2,2x2,synthetic_test
synthetic_systolic_hotspot_2_00095,synthetic,systolic,hotspot,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00096,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_checkerboard_2_00097,synthetic,systolic,checkerboard,2,2x2,synthetic_train
synthetic_systolic_wavefront_2_00098,synthetic,systolic,wavefront,2,2x2,synthetic_train
synthetic_systolic_hotspot_2_00099,synthetic,systolic,hotspot,2,2x2,synthetic_test
synthetic_standard_uniform_4_00000,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_stripes_4_00001,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_uniform_4_00002,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_uniform_4_00003,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00004,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_uniform_4_00005,synthetic,standard,uniform,4,4x4,synthetic_val
synthetic_standard_multihotspot_4_00006,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00007,synthetic,standard,hotspot,4,4x4,synthetic_test
synthetic_standard_stripes_4_00008,synthetic,standard,stripes,4,4x4,synthetic_test
synthetic_standard_hotspot_4_00009,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00010,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00011,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00012,synthetic,standard,hotspot,4,4x4,synthetic_val
synthetic_standard_hotspot_4_00013,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00014,synthetic,standard,hotspot,4,4x4,synthetic_val
synthetic_standard_hotspot_4_00015,synthetic,standard,hotspot,4,4x4,synthetic_test
synthetic_standard_quadrant_4_00016,synthetic,standard,quadrant,4,4x4,synthetic_val
synthetic_standard_checkerboard_4_00017,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00018,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_stripes_4_00019,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00020,synthetic,standard,checkerboard,4,4x4,synthetic_val
synthetic_standard_quadrant_4_00021,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_stripes_4_00022,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00023,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00024,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_uniform_4_00025,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00026,synthetic,standard,quadrant,4,4x4,synthetic_test
synthetic_standard_uniform_4_00027,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_uniform_4_00028,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00029,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00030,synthetic,standard,hotspot,4,4x4,synthetic_test
synthetic_standard_hotspot_4_00031,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00032,synthetic,standard,checkerboard,4,4x4,synthetic_test
synthetic_standard_uniform_4_00033,synthetic,standard,uniform,4,4x4,synthetic_test
synthetic_standard_stripes_4_00034,synthetic,standard,stripes,4,4x4,synthetic_val
synthetic_standard_checkerboard_4_00035,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_stripes_4_00036,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00037,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00038,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_uniform_4_00039,synthetic,standard,uniform,4,4x4,synthetic_test
synthetic_standard_multihotspot_4_00040,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00041,synthetic,standard,checkerboard,4,4x4,synthetic_test
synthetic_standard_multihotspot_4_00042,synthetic,standard,multihotspot,4,4x4,synthetic_test
synthetic_standard_stripes_4_00043,synthetic,standard,stripes,4,4x4,synthetic_test
synthetic_standard_stripes_4_00044,synthetic,standard,stripes,4,4x4,synthetic_test
synthetic_standard_hotspot_4_00045,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_stripes_4_00046,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00047,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_uniform_4_00048,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00049,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00050,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_uniform_4_00051,synthetic,standard,uniform,4,4x4,synthetic_test
synthetic_standard_multihotspot_4_00052,synthetic,standard,multihotspot,4,4x4,synthetic_val
synthetic_standard_quadrant_4_00053,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00054,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00055,synthetic,standard,checkerboard,4,4x4,synthetic_val
synthetic_standard_checkerboard_4_00056,synthetic,standard,checkerboard,4,4x4,synthetic_val
synthetic_standard_uniform_4_00057,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00058,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00059,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_stripes_4_00060,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00061,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00062,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00063,synthetic,standard,multihotspot,4,4x4,synthetic_test
synthetic_standard_quadrant_4_00064,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00065,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_stripes_4_00066,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_uniform_4_00067,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_stripes_4_00068,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00069,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00070,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00071,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00072,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00073,synthetic,standard,checkerboard,4,4x4,synthetic_test
synthetic_standard_uniform_4_00074,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00075,synthetic,standard,multihotspot,4,4x4,synthetic_test
synthetic_standard_quadrant_4_00076,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00077,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00078,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00079,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00080,synthetic,standard,checkerboard,4,4x4,synthetic_val
synthetic_standard_quadrant_4_00081,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00082,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00083,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_stripes_4_00084,synthetic,standard,stripes,4,4x4,synthetic_test
synthetic_standard_uniform_4_00085,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_uniform_4_00086,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00087,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00088,synthetic,standard,hotspot,4,4x4,synthetic_val
synthetic_standard_quadrant_4_00089,synthetic,standard,quadrant,4,4x4,synthetic_val
synthetic_standard_checkerboard_4_00090,synthetic,standard,checkerboard,4,4x4,synthetic_test
synthetic_standard_hotspot_4_00091,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_stripes_4_00092,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00093,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00094,synthetic,standard,quadrant,4,4x4,synthetic_val
synthetic_standard_hotspot_4_00095,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_uniform_4_00096,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_quadrant_4_00097,synthetic,standard,quadrant,4,4x4,synthetic_train
synthetic_standard_uniform_4_00098,synthetic,standard,uniform,4,4x4,synthetic_val
synthetic_standard_checkerboard_4_00099,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_uniform_4_00100,synthetic,standard,uniform,4,4x4,synthetic_val
synthetic_standard_checkerboard_4_00101,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00102,synthetic,standard,hotspot,4,4x4,synthetic_test
synthetic_standard_stripes_4_00103,synthetic,standard,stripes,4,4x4,synthetic_val
synthetic_standard_quadrant_4_00104,synthetic,standard,quadrant,4,4x4,synthetic_test
synthetic_standard_checkerboard_4_00105,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_stripes_4_00106,synthetic,standard,stripes,4,4x4,synthetic_train
synthetic_standard_hotspot_4_00107,synthetic,standard,hotspot,4,4x4,synthetic_train
synthetic_standard_checkerboard_4_00108,synthetic,standard,checkerboard,4,4x4,synthetic_train
synthetic_standard_uniform_4_00109,synthetic,standard,uniform,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00110,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00111,synthetic,standard,multihotspot,4,4x4,synthetic_train
synthetic_standard_multihotspot_4_00112,synthetic,standard,multihotspot,4,4x4,synthetic_train
